No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Party Code,Political Party Name,Abbrv,Notes
17,Ibrahim Oyugi,Ibrahim Oyugi,1,Mombasa,1,Changamwe,3,Airport,29,National Rainbow Coalition,NARC,
18,Jackson Okwayo,Jackson Okwayo,1,Mombasa,1,Changamwe,3,Airport,31,Kenya Patriots Party,KPP,
19,Hassan Mohammed,Hassan Mohammed,1,Mombasa,1,Changamwe,3,Airport,36,Chama Cha Uzalendo,CCU,
20,Charles Owuor Rapul,Charles Owuor Rapul,1,Mombasa,1,Changamwe,3,Airport,IND,Independent,IND,
21,Suleiman Hassan,Suleiman Hassan,1,Mombasa,1,Changamwe,4,Changamwe,76,Thirdway Alliance Kenya,TAK,
22,Hussein Mohamed,Hussein Mohamed,1,Mombasa,1,Changamwe,4,Changamwe,75,Empowerment and Liberation Party,ELP,
23,Patrick Mwendwa,Patrick Mwendwa,1,Mombasa,1,Changamwe,4,Changamwe,15,Party for Development and Reform,PDR,
24,Domnic Otieno,Domnic Otieno,1,Mombasa,1,Changamwe,4,Changamwe,31,Kenya Patriots Party,KPP,
25,Simon Muoka,Simon Muoka,1,Mombasa,1,Changamwe,4,Changamwe,36,Chama Cha Uzalendo,CCU,
26,Benard Ochieng,Benard Ochieng,1,Mombasa,1,Changamwe,4,Changamwe,29,National Rainbow Coalition,NARC,
27,Francis Herbrew Hajj,Francis Herbrew Hajj,1,Mombasa,1,Changamwe,4,Changamwe,IND,Independent,IND,
28,Samuel Okoth,Samuel Okoth,1,Mombasa,1,Changamwe,4,Changamwe,IND,Independent,IND,
29,Zacharia Nyaberi,Zacharia Nyaberi,1,Mombasa,1,Changamwe,5,Chaani,33,Kenya African National Union,KANU,
30,Wyckliffe Odhiambo,Wyckliffe Odhiambo,1,Mombasa,1,Changamwe,5,Chaani,IND,Independent,IND,
31,Josphat Omunyin,Josphat Omunyin,1,Mombasa,1,Changamwe,5,Chaani,73,Alternative Leadership Party of Kenya,ALPK,
32,Elias Furaha Charo,Elias Furaha Charo,1,Mombasa,1,Changamwe,5,Chaani,77,Justice and Freedom Party,JFP,
33,John Mwakina,John Mwakina,1,Mombasa,1,Changamwe,5,Chaani,75,Empowerment and Liberation Party,ELP,
34,Victor Nyang'au,Victor Nyang'au,1,Mombasa,1,Changamwe,5,Chaani,IND,Independent,IND,
35,Ali Bwenge,Ali Bwenge,1,Mombasa,1,Changamwe,5,Chaani,IND,Independent,IND,
36,Junior Wambua,Junior Wambua,1,Mombasa,1,Changamwe,5,Chaani,29,National Rainbow Coalition,NARC,
37,Martin Makau,Martin Makau,1,Mombasa,1,Changamwe,5,Chaani,15,Party for Development and Reform,PDR,
38,Mustafa Abdi,Mustafa Abdi,1,Mombasa,1,Changamwe,5,Chaani,36,Chama Cha Uzalendo,CCU,
39,Stephen Musyoka,Stephen Musyoka,1,Mombasa,1,Changamwe,5,Chaani,IND,Independent,IND,
40,David Mwendwa,David Mwendwa,1,Mombasa,1,Changamwe,5,Chaani,IND,Independent,IND,
41,Michael Barasa,Michael Barasa,1,Mombasa,1,Changamwe,5,Chaani,67,Maendeleo Chap Chap Party,MCCP,
42,Kenneth Gitonga,Kenneth Gitonga,1,Mombasa,1,Changamwe,5,Chaani,IND,Independent,IND,
43,George Samwel,George Samwel,1,Mombasa,1,Changamwe,5,Chaani,62,Amani National Congress,ANC,
44,Nassib Badi,Nassib Badi,1,Mombasa,2,Jomvu,6,Jomvu Kuu,67,Maendeleo Chap Chap Party,MCCP,
45,Ochieng Michael,Ochieng Michael,1,Mombasa,2,Jomvu,6,Jomvu Kuu,IND,Independent,IND,
46,Safari,Safari,1,Mombasa,2,Jomvu,6,Jomvu Kuu,IND,Independent,IND,
47,Mwachange Mohamed,Mwachange Mohamed,1,Mombasa,2,Jomvu,6,Jomvu Kuu,54,Chama Cha Mashinani,CCM,
48,Yusuf Kapera,Yusuf Kapera,1,Mombasa,2,Jomvu,6,Jomvu Kuu,75,Empowerment and Liberation Party,ELP,
49,Richard Mdune,Richard Mdune,1,Mombasa,2,Jomvu,6,Jomvu Kuu,31,Kenya Patriots Party,KPP,
50,Joshua Ong'au,Joshua Ong'au,1,Mombasa,2,Jomvu,6,Jomvu Kuu,IND,Independent,IND,
51,Charo Chome,Charo Chome,1,Mombasa,2,Jomvu,6,Jomvu Kuu,36,Chama Cha Uzalendo,CCU,
52,Paul Wanyama,Paul Wanyama,1,Mombasa,2,Jomvu,6,Jomvu Kuu,IND,Independent,IND,
53,"Stanley Vincent
Omondi","Stanley Vincent
Omondi",1,Mombasa,2,Jomvu,6,Jomvu Kuu,15,Party for Development and Reform,PDR,
54,Shebe Athuman,Shebe Athuman,1,Mombasa,2,Jomvu,6,Jomvu Kuu,29,National Rainbow Coalition,NARC,
55,Daniel Karanja,Daniel Karanja,1,Mombasa,2,Jomvu,6,Jomvu Kuu,IND,Independent,IND,
56,Peter Ndemange,Peter Ndemange,1,Mombasa,2,Jomvu,6,Jomvu Kuu,73,Alternative Leadership Party of Kenya,ALPK,
57,Kibwana Swaleh,Kibwana Swaleh,1,Mombasa,2,Jomvu,7,Miritini,29,National Rainbow Coalition,NARC,
58,Bisher Yahya,Bisher Yahya,1,Mombasa,2,Jomvu,7,Miritini,42,Shirikisho Party of Kenya,SPK,
59,Abdallah Choga,Abdallah Choga,1,Mombasa,2,Jomvu,7,Miritini,77,Justice and Freedom Party,JFP,
60,Mwangi,Mwangi,1,Mombasa,2,Jomvu,7,Miritini,15,Party for Development and Reform,PDR,
61,Juma Athuman,Juma Athuman,1,Mombasa,2,Jomvu,7,Miritini,IND,Independent,IND,
62,Alexander Mwanzia,Alexander Mwanzia,1,Mombasa,2,Jomvu,7,Miritini,67,Maendeleo Chap Chap Party,MCCP,
63,Stephen Maina,Stephen Maina,1,Mombasa,2,Jomvu,7,Miritini,36,Chama Cha Uzalendo,CCU,
64,Ali Omar,Ali Omar,1,Mombasa,2,Jomvu,7,Miritini,IND,Independent,IND,
65,Mwichande Salim,Mwichande Salim,1,Mombasa,2,Jomvu,7,Miritini,73,Alternative Leadership Party of Kenya,ALPK,
66,Said Ali,Said Ali,1,Mombasa,2,Jomvu,7,Miritini,31,Kenya Patriots Party,KPP,
67,Esther Mwelu,Esther Mwelu,1,Mombasa,2,Jomvu,7,Miritini,51,National Party of Kenya,NPK,
68,Mohamed Wamasha,Mohamed Wamasha,1,Mombasa,2,Jomvu,7,Miritini,75,Empowerment and Liberation Party,ELP,
69,Peter Akhwesa,Peter Akhwesa,1,Mombasa,2,Jomvu,7,Miritini,IND,Independent,IND,
70,Charles Okumu,Charles Okumu,1,Mombasa,2,Jomvu,8,Mikindani,75,Empowerment and Liberation Party,ELP,
71,John Kirema,John Kirema,1,Mombasa,2,Jomvu,8,Mikindani,73,Alternative Leadership Party of Kenya,ALPK,
72,Thiangeta Fredrick,Thiangeta Fredrick,1,Mombasa,2,Jomvu,8,Mikindani,36,Chama Cha Uzalendo,CCU,
73,Noel Elisha,Noel Elisha,1,Mombasa,2,Jomvu,8,Mikindani,31,Kenya Patriots Party,KPP,
74,Mkombe,Mkombe,1,Mombasa,2,Jomvu,8,Mikindani,48,Economic Freedom Party,EFP,
75,Dickson Muoki,Dickson Muoki,1,Mombasa,2,Jomvu,8,Mikindani,IND,Independent,IND,
76,Benedict Chigamba,Benedict Chigamba,1,Mombasa,2,Jomvu,8,Mikindani,39,Peoples Democratic Party,PDP,
77,Ali Swaleh,Ali Swaleh,1,Mombasa,2,Jomvu,8,Mikindani,IND,Independent,IND,
78,Moses Ochieng O,Moses Ochieng O,1,Mombasa,2,Jomvu,8,Mikindani,74,Ukweli Party,UP,
79,Duncan Odhiambo,Duncan Odhiambo,1,Mombasa,2,Jomvu,8,Mikindani,15,Party for Development and Reform,PDR,
80,Jackton Obuya,Jackton Obuya,1,Mombasa,2,Jomvu,8,Mikindani,IND,Independent,IND,
81,Juma Renson,Juma Renson,1,Mombasa,2,Jomvu,8,Mikindani,29,National Rainbow Coalition,NARC,
82,Fahad Kassim,Fahad Kassim,1,Mombasa,3,Kisauni,9,Mjambere,29,National Rainbow Coalition,NARC,
83,Mohamed Farid,Mohamed Farid,1,Mombasa,3,Kisauni,9,Mjambere,36,Chama Cha Uzalendo,CCU,
84,Mohammed Kheri,Mohammed Kheri,1,Mombasa,3,Kisauni,9,Mjambere,67,Maendeleo Chap Chap Party,MCCP,
85,Said Abdul Rahman,Said Abdul Rahman,1,Mombasa,3,Kisauni,9,Mjambere,39,Peoples Democratic Party,PDP,
86,Swaleh,Swaleh,1,Mombasa,3,Kisauni,9,Mjambere,IND,Independent,IND,
87,Khamis Ali,Khamis Ali,1,Mombasa,3,Kisauni,9,Mjambere,15,Party for Development and Reform,PDR,
88,Musumba Raphael,Musumba Raphael,1,Mombasa,3,Kisauni,10,Junda,29,National Rainbow Coalition,NARC,
89,Asadi Mohamed,Asadi Mohamed,1,Mombasa,3,Kisauni,10,Junda,IND,Independent,IND,
90,Amani Chifwete,Amani Chifwete,1,Mombasa,3,Kisauni,10,Junda,IND,Independent,IND,
91,Herbert Mwamburi,Herbert Mwamburi,1,Mombasa,3,Kisauni,10,Junda,39,Peoples Democratic Party,PDP,
92,"Ali Khamisi
Mwaligulu","Ali Khamisi
Mwaligulu",1,Mombasa,3,Kisauni,10,Junda,36,Chama Cha Uzalendo,CCU,
93,Anthony Maina,Anthony Maina,1,Mombasa,3,Kisauni,10,Junda,71,National Liberal Party,NLP,
94,Bernard Agasa,Bernard Agasa,1,Mombasa,3,Kisauni,10,Junda,12,Wiper Democratic Movement - Kenya,WDM-K,
95,Domnique Otieno,Domnique Otieno,1,Mombasa,3,Kisauni,10,Junda,31,Kenya Patriots Party,KPP,
96,David Ochieng,David Ochieng,1,Mombasa,3,Kisauni,10,Junda,73,Alternative Leadership Party of Kenya,ALPK,
97,Paul Oswago,Paul Oswago,1,Mombasa,3,Kisauni,10,Junda,IND,Independent,IND,
98,John Lugwaru,John Lugwaru,1,Mombasa,3,Kisauni,10,Junda,47,Farmers Party,FP,
99,Boniface Mwangome,Boniface Mwangome,1,Mombasa,3,Kisauni,10,Junda,15,Party for Development and Reform,PDR,
100,John Samini,John Samini,1,Mombasa,3,Kisauni,10,Junda,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
101,Eddy Dume,Eddy Dume,1,Mombasa,3,Kisauni,11,Bamburi,77,Justice and Freedom Party,JFP,
102,James Edward Bilahi,James Edward Bilahi,1,Mombasa,3,Kisauni,11,Bamburi,IND,Independent,IND,
103,Allan Kaimenyi,Allan Kaimenyi,1,Mombasa,3,Kisauni,11,Bamburi,IND,Independent,IND,
104,Prince Zawadi,Prince Zawadi,1,Mombasa,3,Kisauni,11,Bamburi,31,Kenya Patriots Party,KPP,
105,Riziki Fundi,Riziki Fundi,1,Mombasa,3,Kisauni,11,Bamburi,IND,Independent,IND,
106,Vincent Kikumu,Vincent Kikumu,1,Mombasa,3,Kisauni,11,Bamburi,36,Chama Cha Uzalendo,CCU,
107,Hamisi Kaema,Hamisi Kaema,1,Mombasa,3,Kisauni,11,Bamburi,IND,Independent,IND,
108,Harvey Mwahunga,Harvey Mwahunga,1,Mombasa,3,Kisauni,11,Bamburi,73,Alternative Leadership Party of Kenya,ALPK,
109,Robert Nyiro,Robert Nyiro,1,Mombasa,3,Kisauni,11,Bamburi,29,National Rainbow Coalition,NARC,
110,Chiko Michael,Chiko Michael,1,Mombasa,3,Kisauni,11,Bamburi,67,Maendeleo Chap Chap Party,MCCP,
111,Juma Kapsa,Juma Kapsa,1,Mombasa,3,Kisauni,11,Bamburi,15,Party for Development and Reform,PDR,
112,Kelvin Kai,Kelvin Kai,1,Mombasa,3,Kisauni,11,Bamburi,39,Peoples Democratic Party,PDP,
113,Emannuel Ndoro,Emannuel Ndoro,1,Mombasa,3,Kisauni,12,Mwakirunge,67,Maendeleo Chap Chap Party,MCCP,
114,Sammy Mwadzame,Sammy Mwadzame,1,Mombasa,3,Kisauni,12,Mwakirunge,29,National Rainbow Coalition,NARC,
115,Festus Saha,Festus Saha,1,Mombasa,3,Kisauni,12,Mwakirunge,15,Party for Development and Reform,PDR,
116,Feddis Salame,Feddis Salame,1,Mombasa,3,Kisauni,12,Mwakirunge,IND,Independent,IND,
117,Rama Kombo,Rama Kombo,1,Mombasa,3,Kisauni,12,Mwakirunge,39,Peoples Democratic Party,PDP,
118,Nicodemus Chivila,Nicodemus Chivila,1,Mombasa,3,Kisauni,12,Mwakirunge,36,Chama Cha Uzalendo,CCU,
119,Cain Lwambi,Cain Lwambi,1,Mombasa,3,Kisauni,12,Mwakirunge,73,Alternative Leadership Party of Kenya,ALPK,
120,Nicholas Kibiwott,Nicholas Kibiwott,1,Mombasa,3,Kisauni,13,Mtopanga,51,National Party of Kenya,NPK,
121,Lucy Chizi,Lucy Chizi,1,Mombasa,3,Kisauni,13,Mtopanga,29,National Rainbow Coalition,NARC,
122,Eustina Idza,Eustina Idza,1,Mombasa,3,Kisauni,13,Mtopanga,36,Chama Cha Uzalendo,CCU,
123,Maxwell Masai,Maxwell Masai,1,Mombasa,3,Kisauni,13,Mtopanga,IND,Independent,IND,
124,Hassan Khamis,Hassan Khamis,1,Mombasa,3,Kisauni,13,Mtopanga,42,Shirikisho Party of Kenya,SPK,
125,Omar Abdi,Omar Abdi,1,Mombasa,3,Kisauni,13,Mtopanga,75,Empowerment and Liberation Party,ELP,
126,Victoria Chitsaka,Victoria Chitsaka,1,Mombasa,3,Kisauni,13,Mtopanga,73,Alternative Leadership Party of Kenya,ALPK,
127,Alexander Bato,Alexander Bato,1,Mombasa,3,Kisauni,13,Mtopanga,15,Party for Development and Reform,PDR,
128,Masha Ibrahim,Masha Ibrahim,1,Mombasa,3,Kisauni,13,Mtopanga,IND,Independent,IND,
129,Everline Shida,Everline Shida,1,Mombasa,3,Kisauni,13,Mtopanga,77,Justice and Freedom Party,JFP,
130,David Raphael,David Raphael,1,Mombasa,3,Kisauni,13,Mtopanga,IND,Independent,IND,
131,Tony Cleaons,Tony Cleaons,1,Mombasa,3,Kisauni,13,Mtopanga,67,Maendeleo Chap Chap Party,MCCP,
132,Joseph Furaha,Joseph Furaha,1,Mombasa,3,Kisauni,13,Mtopanga,39,Peoples Democratic Party,PDP,
133,Matano Mohamed,Matano Mohamed,1,Mombasa,3,Kisauni,14,Magogoni,15,Party for Development and Reform,PDR,
134,Franco Douglas,Franco Douglas,1,Mombasa,3,Kisauni,14,Magogoni,IND,Independent,IND,
135,Khamis Mwaguni,Khamis Mwaguni,1,Mombasa,3,Kisauni,14,Magogoni,36,Chama Cha Uzalendo,CCU,
136,Ali Mohamed,Ali Mohamed,1,Mombasa,3,Kisauni,14,Magogoni,29,National Rainbow Coalition,NARC,
137,Agnes Nyevu,Agnes Nyevu,1,Mombasa,3,Kisauni,15,Shanzu,IND,Independent,IND,
138,Michael Lewa,Michael Lewa,1,Mombasa,3,Kisauni,15,Shanzu,39,Peoples Democratic Party,PDP,
139,Allen Rodges,Allen Rodges,1,Mombasa,3,Kisauni,15,Shanzu,15,Party for Development and Reform,PDR,
140,Peter Omari,Peter Omari,1,Mombasa,3,Kisauni,15,Shanzu,75,Empowerment and Liberation Party,ELP,
141,Omar,Omar,1,Mombasa,3,Kisauni,15,Shanzu,77,Justice and Freedom Party,JFP,
142,Titus,Titus,1,Mombasa,3,Kisauni,15,Shanzu,36,Chama Cha Uzalendo,CCU,
143,Evans Ombui,Evans Ombui,1,Mombasa,3,Kisauni,15,Shanzu,7,Party of Independent Candidates of Kenya,PICK,
144,Kenneth Maundu,Kenneth Maundu,1,Mombasa,3,Kisauni,15,Shanzu,12,Wiper Democratic Movement - Kenya,WDM-K,
145,Maimuna Salim,Maimuna Salim,1,Mombasa,3,Kisauni,15,Shanzu,29,National Rainbow Coalition,NARC,
146,Karisa Samuel,Karisa Samuel,1,Mombasa,3,Kisauni,15,Shanzu,IND,Independent,IND,
147,James Martin,James Martin,1,Mombasa,3,Kisauni,15,Shanzu,31,Kenya Patriots Party,KPP,
148,Ali Mohamed,Ali Mohamed,1,Mombasa,4,Nyali,16,Frere Town,75,Empowerment and Liberation Party,ELP,
149,Alphonce Katana,Alphonce Katana,1,Mombasa,4,Nyali,16,Frere Town,47,Farmers Party,FP,
150,Samuel Mwambegu,Samuel Mwambegu,1,Mombasa,4,Nyali,16,Frere Town,36,Chama Cha Uzalendo,CCU,
151,Charles Juma,Charles Juma,1,Mombasa,4,Nyali,16,Frere Town,29,National Rainbow Coalition,NARC,
152,Mohemedi Mohemedi,Mohemedi Mohemedi,1,Mombasa,4,Nyali,16,Frere Town,39,Peoples Democratic Party,PDP,
153,David Arnold,David Arnold,1,Mombasa,4,Nyali,16,Frere Town,IND,Independent,IND,
154,Fredrick Kahindi,Fredrick Kahindi,1,Mombasa,4,Nyali,16,Frere Town,15,Party for Development and Reform,PDR,
155,Daniel Munyasia,Daniel Munyasia,1,Mombasa,4,Nyali,16,Frere Town,IND,Independent,IND,
156,Amir Mohamed,Amir Mohamed,1,Mombasa,4,Nyali,16,Frere Town,IND,Independent,IND,
157,Ernest Arnold,Ernest Arnold,1,Mombasa,4,Nyali,17,Ziwa La Ng'ombe,73,Alternative Leadership Party of Kenya,ALPK,
158,Anthony Musyoka,Anthony Musyoka,1,Mombasa,4,Nyali,17,Ziwa La Ng'ombe,IND,Independent,IND,
159,Chrisantus Ingoi,Chrisantus Ingoi,1,Mombasa,4,Nyali,17,Ziwa La Ng'ombe,67,Maendeleo Chap Chap Party,MCCP,
160,Salim Dauid,Salim Dauid,1,Mombasa,4,Nyali,17,Ziwa La Ng'ombe,29,National Rainbow Coalition,NARC,
161,Jacob Mbalu,Jacob Mbalu,1,Mombasa,4,Nyali,17,Ziwa La Ng'ombe,39,Peoples Democratic Party,PDP,
162,Felix Ochieng,Felix Ochieng,1,Mombasa,4,Nyali,17,Ziwa La Ng'ombe,IND,Independent,IND,
163,Alfred Otieno,Alfred Otieno,1,Mombasa,4,Nyali,17,Ziwa La Ng'ombe,31,Kenya Patriots Party,KPP,
164,John Gaithuri,John Gaithuri,1,Mombasa,4,Nyali,17,Ziwa La Ng'ombe,36,Chama Cha Uzalendo,CCU,
165,Furaha Azizi,Furaha Azizi,1,Mombasa,4,Nyali,17,Ziwa La Ng'ombe,15,Party for Development and Reform,PDR,
166,Gichana Nyagwaya,Gichana Nyagwaya,1,Mombasa,4,Nyali,18,Mkomani,31,Kenya Patriots Party,KPP,
167,Duncan Wanga,Duncan Wanga,1,Mombasa,4,Nyali,18,Mkomani,IND,Independent,IND,
168,Epaphras Magumba,Epaphras Magumba,1,Mombasa,4,Nyali,18,Mkomani,77,Justice and Freedom Party,JFP,
169,Jane Mueni,Jane Mueni,1,Mombasa,4,Nyali,18,Mkomani,17,Agano Party,AGANO,
170,Priscila Akinyi,Priscila Akinyi,1,Mombasa,4,Nyali,18,Mkomani,73,Alternative Leadership Party of Kenya,ALPK,
171,Job Ochieng,Job Ochieng,1,Mombasa,4,Nyali,18,Mkomani,15,Party for Development and Reform,PDR,
172,Kizito Okoth,Kizito Okoth,1,Mombasa,4,Nyali,18,Mkomani,29,National Rainbow Coalition,NARC,
173,Duncan Odhiambo,Duncan Odhiambo,1,Mombasa,4,Nyali,18,Mkomani,36,Chama Cha Uzalendo,CCU,
174,Stephen Okwaro,Stephen Okwaro,1,Mombasa,4,Nyali,18,Mkomani,IND,Independent,IND,
175,Oscar Shikono,Oscar Shikono,1,Mombasa,4,Nyali,18,Mkomani,75,Empowerment and Liberation Party,ELP,
176,"Mohamed
Abdurahman","Mohamed
Abdurahman",1,Mombasa,4,Nyali,19,Kongowea,42,Shirikisho Party of Kenya,SPK,
177,Evans Omondi,Evans Omondi,1,Mombasa,4,Nyali,19,Kongowea,75,Empowerment and Liberation Party,ELP,
178,Joseph Muthamia,Joseph Muthamia,1,Mombasa,4,Nyali,19,Kongowea,67,Maendeleo Chap Chap Party,MCCP,
179,Alexander Kangentu,Alexander Kangentu,1,Mombasa,4,Nyali,19,Kongowea,17,Agano Party,AGANO,
180,Mutiso Jackson,Mutiso Jackson,1,Mombasa,4,Nyali,19,Kongowea,31,Kenya Patriots Party,KPP,
181,Samuel Mwaura,Samuel Mwaura,1,Mombasa,4,Nyali,19,Kongowea,36,Chama Cha Uzalendo,CCU,
182,Robert Musili,Robert Musili,1,Mombasa,4,Nyali,19,Kongowea,15,Party for Development and Reform,PDR,
183,Abrari Mohammed,Abrari Mohammed,1,Mombasa,4,Nyali,19,Kongowea,29,National Rainbow Coalition,NARC,
184,Michael Odhiambo,Michael Odhiambo,1,Mombasa,4,Nyali,20,Kadzandani,48,Economic Freedom Party,EFP,
185,John Tuva,John Tuva,1,Mombasa,4,Nyali,20,Kadzandani,15,Party for Development and Reform,PDR,
186,Khadija Swaleh,Khadija Swaleh,1,Mombasa,4,Nyali,20,Kadzandani,51,National Party of Kenya,NPK,
187,Hare Mruu,Hare Mruu,1,Mombasa,4,Nyali,20,Kadzandani,17,Agano Party,AGANO,
188,Mwanahamisi Omar,Mwanahamisi Omar,1,Mombasa,4,Nyali,20,Kadzandani,73,Alternative Leadership Party of Kenya,ALPK,
189,Pinuspa Otieno,Pinuspa Otieno,1,Mombasa,4,Nyali,20,Kadzandani,75,Empowerment and Liberation Party,ELP,
190,John Mutemi,John Mutemi,1,Mombasa,4,Nyali,20,Kadzandani,IND,Independent,IND,
191,Sheila Mwende,Sheila Mwende,1,Mombasa,4,Nyali,20,Kadzandani,36,Chama Cha Uzalendo,CCU,
192,"Haroun Chilango
Karima","Haroun Chilango
Karima",1,Mombasa,4,Nyali,20,Kadzandani,39,Peoples Democratic Party,PDP,
193,Francis Kombe,Francis Kombe,1,Mombasa,4,Nyali,20,Kadzandani,29,National Rainbow Coalition,NARC,
194,Kennedy Otieno,Kennedy Otieno,1,Mombasa,4,Nyali,20,Kadzandani,77,Justice and Freedom Party,JFP,
195,Daniel Otieno,Daniel Otieno,1,Mombasa,4,Nyali,20,Kadzandani,67,Maendeleo Chap Chap Party,MCCP,
196,Mohamed Chiwala,Mohamed Chiwala,1,Mombasa,4,Nyali,20,Kadzandani,IND,Independent,IND,
197,Naima,Naima,1,Mombasa,5,Likoni,21,Mtongwe,15,Party for Development and Reform,PDR,
198,Samuel Mgandi,Samuel Mgandi,1,Mombasa,5,Likoni,21,Mtongwe,IND,Independent,IND,
199,Abdulrahaman Omar,Abdulrahaman Omar,1,Mombasa,5,Likoni,21,Mtongwe,31,Kenya Patriots Party,KPP,
200,Pius,Pius,1,Mombasa,5,Likoni,21,Mtongwe,47,Farmers Party,FP,
201,Mkonga Kibwana,Mkonga Kibwana,1,Mombasa,5,Likoni,21,Mtongwe,54,Chama Cha Mashinani,CCM,
202,Joseph Kusero,Joseph Kusero,1,Mombasa,5,Likoni,21,Mtongwe,IND,Independent,IND,
203,Stephen Musyoki,Stephen Musyoki,1,Mombasa,5,Likoni,21,Mtongwe,73,Alternative Leadership Party of Kenya,ALPK,
204,Hamisi Musa,Hamisi Musa,1,Mombasa,5,Likoni,21,Mtongwe,29,National Rainbow Coalition,NARC,
205,Rashid Khamis,Rashid Khamis,1,Mombasa,5,Likoni,21,Mtongwe,3,The Labour Party of Kenya,LPK,
206,Ahmed Hassan,Ahmed Hassan,1,Mombasa,5,Likoni,21,Mtongwe,36,Chama Cha Uzalendo,CCU,
207,Omar Pamba,Omar Pamba,1,Mombasa,5,Likoni,22,Shika Adabu,IND,Independent,IND,
208,Mishi Omar,Mishi Omar,1,Mombasa,5,Likoni,22,Shika Adabu,36,Chama Cha Uzalendo,CCU,
209,Hamisi Juma,Hamisi Juma,1,Mombasa,5,Likoni,22,Shika Adabu,39,Peoples Democratic Party,PDP,
210,Amina Juma,Amina Juma,1,Mombasa,5,Likoni,22,Shika Adabu,15,Party for Development and Reform,PDR,
211,Mohamed,Mohamed,1,Mombasa,5,Likoni,22,Shika Adabu,IND,Independent,IND,
212,Mwalimu Hamad,Mwalimu Hamad,1,Mombasa,5,Likoni,22,Shika Adabu,29,National Rainbow Coalition,NARC,
213,Mohamed Brek,Mohamed Brek,1,Mombasa,5,Likoni,22,Shika Adabu,IND,Independent,IND,
214,Abdallah Jumaa,Abdallah Jumaa,1,Mombasa,5,Likoni,22,Shika Adabu,54,Chama Cha Mashinani,CCM,
215,Gibson Mwendo,Gibson Mwendo,1,Mombasa,5,Likoni,22,Shika Adabu,42,Shirikisho Party of Kenya,SPK,
